project_slug,cve_id,github_username,github_repository_name,commit,file,class,class_start,class_end,method,method_start,method_end,signature
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportConnectionsTest.java,AutoTransportConnectionsTest,49,171,configureConnectorAndStart,105,115,"void configureConnectorAndStart(String)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLBasicTest.java,NIOSSLBasicTest,38,133,verifyHostNameError,104,111,"void verifyHostNameError()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLBasicTest.java,NIOSSLBasicTest,38,133,basicSendReceive,117,130,"void basicSendReceive(String)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLLoadTest.java,NIOSSLLoadTest,45,171,setUp,66,84,"void setUp()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLWindowSizeTest.java,NIOSSLWindowSizeTest,32,93,testLargePayload,93,110,"void testLargePayload()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLWindowSizeTest.java,NIOSSLWindowSizeTest,32,93,setUp,51,75,"void setUp()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/AmqpTestSupport.java,AmqpTestSupport,61,462,addTranportConnectors,169,247,"void addTranportConnectors()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-broker/src/main/java/org/apache/activemq/transport/nio/AutoInitNioSSLTransport.java,AutoInitNioSSLTransport,44,218,initializeStreams,64,129,"void initializeStreams()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-client/src/main/java/org/apache/activemq/transport/nio/NIOSSLTransport.java,NIOSSLTransport,51,543,initializeStreams,90,188,"void initializeStreams(SelectorSelection,SelectorSelection,Throwable)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-client/src/main/java/org/apache/activemq/transport/tcp/SslTransportServer.java,SslTransportServer,40,127,bind,103,108,"void bind()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-client/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,TcpTransport,56,764,setTrafficClass,712,751,"boolean setTrafficClass(Socket)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-client/src/main/java/org/apache/activemq/transport/tcp/TcpTransportServer.java,TcpTransportServer,68,711,configureServerSocket,161,187,"void configureServerSocket(ServerSocket)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4126Test.java,AMQ4126Test,42,170,openwireConnectTo,122,138,"void openwireConnectTo(String,String,String)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ6599Test.java,AMQ6599Test,39,94,before,69,80,"void before()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/network/NetworkReconnectSslNioTest.java,NetworkReconnectSslNioTest,36,41,testForceReconnect,41,100,"void testForceReconnect()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoSslAuthTest.java,AutoSslAuthTest,44,127,before,74,108,"void before(Broker,ConnectionContext,ConnectionInfo)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoSslAuthTest.java,AutoSslAuthTest,44,127,testConnect,127,139,"void testConnect()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLBasicTest.java,NIOSSLBasicTest,36,116,basicConnector,80,83,"void basicConnector()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLLoadTest.java,NIOSSLLoadTest,45,170,testLoad,100,121,"void testLoad()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLLoadTest.java,NIOSSLLoadTest,45,170,setUp,66,84,"void setUp()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLWindowSizeTest.java,NIOSSLWindowSizeTest,32,93,setUp,51,75,"void setUp()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLWindowSizeTest.java,NIOSSLWindowSizeTest,32,93,testLargePayload,93,110,"void testLargePayload()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/tcp/SslTransportFactoryTest.java,SslTransportFactoryTest,30,81,testCompositeConfigure,81,144,"void testCompositeConfigure()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-unit-tests/src/test/java/org/apache/activemq/transport/tcp/SslTransportFactoryTest.java,SslTransportFactoryTest,30,81,testBindServerOptions,44,72,"void testBindServerOptions()"
apache__activemq_CVE-2019-0222_5.15.8,CVE-2019-0222,apache,activemq,98b9f2e,activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTCodecTest.java,MQTTCodecTest,45,258,testMessageDecodingPerformance,258,290,"void testMessageDecodingPerformance()"
apache__activemq_CVE-2019-0222_5.15.8,CVE-2019-0222,apache,activemq,f78c0962ffb46fae3397eed6b7ec1e6e15045031,activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTCodecTest.java,MQTTCodecTest,45,258,testMessageDecodingPerformance,258,290,"void testMessageDecodingPerformance()"
apache__activemq_CVE-2020-11998_5.15.12,CVE-2020-11998,apache,activemq,0d6e5f2,activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java,ManagementContext,66,698,createConnector,559,597,"void createConnector(MBeanServer)"
apache__activemq_CVE-2020-11998_5.15.12,CVE-2020-11998,apache,activemq,88b78d0,activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java,ManagementContext,66,698,createConnector,559,597,"void createConnector(MBeanServer)"
apache__activemq_CVE-2020-11998_5.15.12,CVE-2020-11998,apache,activemq,aa8900c,activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java,ManagementContext,66,698,createConnector,559,597,"void createConnector(MBeanServer)"
apache__camel_CVE-2018-8041_2.20.3,CVE-2018-8041,apache,camel,4580e4d6c65cfd544c1791c824b5819477c583cc,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java,MailBinding,64,723,extractAttachmentsFromMultipart,305,342,"void extractAttachmentsFromMultipart(Multipart,Map)"
apache__camel_CVE-2018-8041_2.20.3,CVE-2018-8041,apache,camel,4f401c09d22c45c94fa97746dc31905e06b19e3,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java,MailBinding,64,723,extractAttachmentsFromMultipart,305,342,"void extractAttachmentsFromMultipart(Multipart,Map)"
apache__camel_CVE-2018-8041_2.20.3,CVE-2018-8041,apache,camel,63c7c080de4d18f9ceb25843508710df2c2c6d4,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java,MailBinding,64,723,extractAttachmentsFromMultipart,305,342,"void extractAttachmentsFromMultipart(Multipart,Map)"
apache__camel_CVE-2018-8041_2.20.3,CVE-2018-8041,apache,camel,a0d25d9582c6ee85e9567fa39413df0b4f02ef7,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java,MailBinding,64,723,extractAttachmentsFromMultipart,305,342,"void extractAttachmentsFromMultipart(Multipart,Map)"
apache__camel_CVE-2019-0194_2.21.4,CVE-2019-0194,apache,camel,5b64969d37cf2906efd4623cfd473041ce5132fd,camel-core/src/main/java/org/apache/camel/component/file/GenericFileEndpoint.java,GenericFileEndpoint,60,1525,configureMessage,1271,1292,"void configureMessage(GenericFile,Message)"
apache__camel_CVE-2019-0194_2.21.4,CVE-2019-0194,apache,camel,5b64969d37cf2906efd4623cfd473041ce5132fd,camel-core/src/main/java/org/apache/camel/component/file/GenericFileProducer.java,GenericFileProducer,40,427,createTempFileName,383,417,"String createTempFileName(Exchange,String)"
apache__camel_CVE-2019-0194_2.21.4,CVE-2019-0194,apache,camel,5b64969d37cf2906efd4623cfd473041ce5132fd,camel-core/src/main/java/org/apache/camel/component/file/GenericFileProducer.java,GenericFileProducer,40,427,createFileName,306,380,"String createFileName(Exchange)"
apache__camel_CVE-2019-0194_2.21.4,CVE-2019-0194,apache,camel,5b64969d37cf2906efd4623cfd473041ce5132fd,camel-core/src/test/java/org/apache/camel/component/file/FileProducerExpressionTest.java,FileProducerExpressionTest,33,110,testProducerComplexByExpression,82,87,"void testProducerComplexByExpression()"
apache__camel_CVE-2019-0194_2.21.4,CVE-2019-0194,apache,camel,5b64969d37cf2906efd4623cfd473041ce5132fd,components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FtpProducerExpressionTest.java,FtpProducerExpressionTest,30,117,testProducerComplexByExpression,86,94,"void testProducerComplexByExpression()"
apache__dolphinscheduler_CVE-2022-26884_2.0.5,CVE-2022-26884,apache,dolphinscheduler,9717da6c255414eaef1c9ac943b0eb8989c1a85d,dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/log/LoggerRequestProcessor.java,LoggerRequestProcessor,57,185,checkPathSecurity,142,148,"boolean checkPathSecurity(String)"
apache__dolphinscheduler_CVE-2022-34662_2.0.5,CVE-2022-34662,apache,dolphinscheduler,63f835715f8ca8bff79c0e7177ebfa5917ebb3bd,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/ResourcesServiceImpl.java,ResourcesServiceImpl,84,1454,onlineCreateResource,971,1018,"Result onlineCreateResource(User,ResourceType,String,String,String,String,int,String)"
apache__dolphinscheduler_CVE-2022-34662_2.0.5,CVE-2022-34662,apache,dolphinscheduler,63f835715f8ca8bff79c0e7177ebfa5917ebb3bd,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/ResourcesServiceImpl.java,ResourcesServiceImpl,84,1454,createDirectory,122,172,"Result createDirectory(User,String,String,ResourceType,int,String)"
apache__dolphinscheduler_CVE-2022-34662_2.0.5,CVE-2022-34662,apache,dolphinscheduler,63f835715f8ca8bff79c0e7177ebfa5917ebb3bd,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/ResourcesServiceImpl.java,ResourcesServiceImpl,84,1454,verifyFile,517,552,"Result verifyFile(String,ResourceType,MultipartFile)"
apache__dolphinscheduler_CVE-2022-34662_2.0.5,CVE-2022-34662,apache,dolphinscheduler,63f835715f8ca8bff79c0e7177ebfa5917ebb3bd,dolphinscheduler-common/src/test/java/org/apache/dolphinscheduler/common/utils/FileUtilsTest.java,FileUtilsTest,36,81,testWriteContent2File,81,88,"void testWriteContent2File()"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/K8sNamespaceController.java,K8sNamespaceController,64,253,createNamespace,121,128,"Result createNamespace(User,String,Long,Double,Integer)"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/k8s/K8sClientService.java,K8sClientService,38,107,upsertNamespaceAndResourceToK8s,44,51,"ResourceQuota upsertNamespaceAndResourceToK8s(K8sNamespace,String)"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/k8s/K8sClientService.java,K8sClientService,38,107,deleteNamespaceToK8s,54,65,"Optional deleteNamespaceToK8s(String,Long)"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/K8SNamespaceServiceImpl.java,K8SNamespaceServiceImpl,58,469,updateK8sNamespace,222,268,"Map updateK8sNamespace(User,int,String,Double,Integer)"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/K8SNamespaceServiceImpl.java,K8SNamespaceServiceImpl,58,469,queryListPaging,89,108,"Result queryListPaging(User,String,Integer,Integer)"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/service/impl/K8SNamespaceServiceImpl.java,K8SNamespaceServiceImpl,58,469,createK8sNamespace,122,209,"Map createK8sNamespace(User,String,Long,Double,Integer)"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/test/java/org/apache/dolphinscheduler/api/controller/K8sNamespaceControllerTest.java,K8sNamespaceControllerTest,43,177,createNamespace,67,83,"void createNamespace()"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/test/java/org/apache/dolphinscheduler/api/controller/K8sNamespaceControllerTest.java,K8sNamespaceControllerTest,43,177,updateNamespace,87,101,"void updateNamespace()"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/test/java/org/apache/dolphinscheduler/api/service/K8SNamespaceServiceTest.java,K8SNamespaceServiceTest,60,268,createK8sNamespace,108,126,"void createK8sNamespace()"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-api/src/test/java/org/apache/dolphinscheduler/api/service/K8SNamespaceServiceTest.java,K8SNamespaceServiceTest,60,268,setUp,83,87,"void setUp()"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-dao/src/test/java/org/apache/dolphinscheduler/dao/mapper/K8sNamespaceMapperTest.java,K8sNamespaceMapperTest,35,124,insertOne,45,57,"K8sNamespace insertOne()"
apache__dolphinscheduler_CVE-2023-49109_3.2.0,CVE-2023-49109,apache,dolphinscheduler,8c01fcf14b199e2c1ba86c17351e1ea30614f484,dolphinscheduler-dao/src/test/java/org/apache/dolphinscheduler/dao/mapper/K8sNamespaceMapperTest.java,K8sNamespaceMapperTest,35,124,testUpdate,80,86,"void testUpdate()"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/main/java/org/apache/dolphinscheduler/plugin/datasource/mysql/param/MySQLDataSourceProcessor.java,MySQLDataSourceProcessor,48,180,checkKeyIsLegitimate,180,184,"boolean checkKeyIsLegitimate(String)"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/main/java/org/apache/dolphinscheduler/plugin/datasource/mysql/param/MySQLDataSourceProcessor.java,MySQLDataSourceProcessor,48,180,getConnection,130,143,"Connection getConnection(ConnectionParam)"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/main/java/org/apache/dolphinscheduler/plugin/datasource/mysql/param/MySQLDataSourceProcessor.java,MySQLDataSourceProcessor,48,180,getJdbcUrl,120,126,"String getJdbcUrl(ConnectionParam)"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/main/java/org/apache/dolphinscheduler/plugin/datasource/mysql/param/MySQLDataSourceProcessor.java,MySQLDataSourceProcessor,48,180,transformOther,161,177,"String transformOther(Map)"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/main/java/org/apache/dolphinscheduler/plugin/datasource/mysql/param/MySQLDataSourceProcessor.java,MySQLDataSourceProcessor,48,180,getValidationQuery,115,116,"String getValidationQuery()"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/test/java/org/apache/dolphinscheduler/plugin/datasource/mysql/param/MySQLDataSourceProcessorTest.java,MySQLDataSourceProcessorTest,38,112,testGetJdbcUrl,79,84,"void testGetJdbcUrl()"
apache__dolphinscheduler_CVE-2023-51770_3.2.0,CVE-2023-51770,apache,dolphinscheduler,309c8c97a9b9003244496dedc7861a5026f9441a,dolphinscheduler-datasource-plugin/dolphinscheduler-datasource-mysql/src/test/java/org/apache/dolphinscheduler/plugin/datasource/mysql/utils/DataSourceUtilsTest.java,DataSourceUtilsTest,45,144,testGetJdbcUrl,115,121,"void testGetJdbcUrl()"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParser.java,ConfigParser,43,220,parseObject,75,82,"T parseObject(String)"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParser.java,ConfigParser,43,220,parseConfigurators,45,63,"List parseConfigurators(String)"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParser.java,ConfigParser,43,220,parseJsonArray,66,72,"List parseJsonArray(String)"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/condition/config/model/ConditionRuleParser.java,ConditionRuleParser,38,40,parse,40,50,"ConditionRouterRule parse(String)"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/tag/model/TagRuleParser.java,TagRuleParser,27,29,parse,29,43,"TagRouterRule parse(String)"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParserTest.java,ConfigParserTest,44,178,parseConsumerSpecificProvidersTest,162,173,"void parseConsumerSpecificProvidersTest()"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParserTest.java,ConfigParserTest,44,178,parseConfiguratorsServiceMultiAppsTest,92,100,"void parseConfiguratorsServiceMultiAppsTest()"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParserTest.java,ConfigParserTest,44,178,parseConfiguratorsAppAnyServicesTest,132,142,"void parseConfiguratorsAppAnyServicesTest()"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParserTest.java,ConfigParserTest,44,178,parseConfiguratorsAppMultiServicesTest,115,126,"void parseConfiguratorsAppMultiServicesTest()"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParserTest.java,ConfigParserTest,44,178,parseConfiguratorsAppNoServiceTest,147,157,"void parseConfiguratorsAppNoServiceTest()"
apache__dubbo_CVE-2021-30180_2.7.9,CVE-2021-30180,apache,dubbo,041f8bb0a98a912bd363560d5a2339198dcf79a5,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParserTest.java,ConfigParserTest,44,178,parseURLJsonArrayCompatible,178,190,"void parseURLJsonArrayCompatible()"
