project_slug,status,jdk_version,mvn_version
apache__jspwiki_CVE-2022-46907_2.11.3,success,8u202,3.5.0
xwiki__xwiki-rendering_CVE-2023-32070_14.6,success,17,3.5.0
keycloak__keycloak_CVE-2014-3656_1.0.5.Final,success,8u202,3.5.0
xwiki__xwiki-commons_CVE-2023-29201_14.6,success,17,3.5.0
xwiki__xwiki-commons_CVE-2023-29528_14.9-rc-1,success,17,3.5.0
xwiki__xwiki-commons_CVE-2023-31126_14.10.3,success,17,3.5.0
xwiki__xwiki-commons_CVE-2023-36471_14.10.5,success,17,3.5.0
asf__commons-text_CVE-2022-42889_1.9,success,8u202,3.5.0
spring-projects__spring-security_CVE-2011-2732_2.0.6.RELEASE,success,8u202,3.5.0
apache__activemq_CVE-2014-3576_5.10.2,success,8u202,3.5.0
xwiki__xwiki-rendering_CVE-2023-37908_14.10.3,success,17,3.5.0
apache__struts_CVE-2020-17530_2.5.25,success,8u202,3.5.0
xerial__sqlite-jdbc_CVE-2023-32697_3.41.2.1,success,17,3.5.0
apache__rocketmq_CVE-2023-37582_4.9.6,success,8u202,3.5.0
ff4j__ff4j_CVE-2022-44262_1.8.13,success,8u202,3.5.0
SpringSource__spring-security-oauth_CVE-2018-1260_2.3.2.RELEASE,success,8u202,3.5.0
apache__activemq_CVE-2019-0222_5.15.8,success,8u202,3.5.0
apache__rocketmq_CVE-2023-33246_5.1.0,success,8u202,3.5.0
apache__activemq_CVE-2020-11998_5.15.12,success,8u202,3.5.0
spring-cloud__spring-cloud-gateway_CVE-2022-22947_3.0.6,success,8u202,3.5.0
hapifhir__org.hl7.fhir.core_CVE-2023-24057_5.6.91,success,17,3.5.0
eclipse-ee4j__glassfish_CVE-2022-2712_6.2.5,success,17,3.9.8
eclipse__hawkbit_CVE-2020-27219_0.3.0M6,success,8u202,3.5.0
hapifhir__org.hl7.fhir.core_CVE-2023-28465_5.6.105,success,17,3.5.0
asf__karaf_CVE-2022-22932_4.3.5,success,8u202,3.5.0
keycloak__keycloak_CVE-2022-3782_20.0.1,success,17,3.9.8
apache__incubator-dubbo_CVE-2021-30181_2.6.8,success,8u202,3.5.0
aws__aws-sdk-java_CVE-2022-31159_1.12.260,success,8u202,3.5.0
asf__cxf_CVE-2016-6812_3.0.11,success,8u202,3.5.0
keycloak__keycloak_CVE-2022-1274_20.0.4,success,17,3.9.8
keycloak__keycloak_CVE-2022-4137_20.0.4,success,17,3.9.8
asf__cxf_CVE-2019-17573_3.2.11,success,8u202,3.5.0
Graylog2__graylog2-server_CVE-2023-41044_5.1.2,success,17,3.5.0
apache__dubbo_CVE-2021-30180_2.7.9,success,8u202,3.5.0
codecentric__spring-boot-admin_CVE-2022-46166_2.6.9,success,17,3.9.8
payara__Payara_CVE-2022-37422_5.2022.2,success,8u202,3.9.8
fabric8io__kubernetes-client_CVE-2021-4178_5.0.2,success,8u202,3.5.0
apache__dolphinscheduler_CVE-2023-49109_3.2.0,success,8u202,3.5.0
apache__dolphinscheduler_CVE-2023-51770_3.2.0,success,8u202,3.5.0
keycloak__keycloak_CVE-2022-4361_21.1.1,success,17,3.9.8
apache__flink_CVE-2020-17519_1.11.2,success,8u202,3.5.0
